End Date,Start Date,Start Time,Subject,End Time,All day,Calendar Name,Repeats,Repeats Until,Created By,Updated By,Creation Date,Last Update Date,Who,Location,Description,Attachments
06/03/2023,06/03/2023,8:00,261444-001/801 (cpe) | 261742-001 (mcpe),9:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:29,,juggapong,RTT3,,
06/03/2023,06/03/2023,9:30,261449-001/801 (cpe),11:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,lachana,518,,
06/03/2023,06/03/2023,9:30,261200-001/801 (cpe2/cpe2s),10:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,chinawat,516,,
06/03/2023,06/03/2023,9:30,261458-001/801 (cpe) | 261895-001 (mcpe),11:00,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,karn,521,,
06/03/2023,06/03/2023,9:30,261494-003/803 (cpe) | 269494-703 (isne),11:00,,CPE|ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,dome,402,,
06/03/2023,06/03/2023,9:30,261755-001 (mcpe),11:00,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,sansanee,404,,
06/03/2023,06/03/2023,10:30,261200-001/801 (cpe2/cpe2s) lab,12:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,chinawat,516,,
06/03/2023,06/03/2023,11:00,261441-001/801 (cpe) | 261722-001 (mcpe),12:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,paskorn,518,,
06/03/2023,06/03/2023,11:00,261479-001/801 (cpe) | 261792-001 (mcpe),12:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,dome,402,,
06/03/2023,06/03/2023,11:00,261751-001 (mcpe),12:30,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:32,,sansanee,404,,
06/03/2023,06/03/2023,11:00,261438-701 (isne),12:30,,ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:33,,yuthapong,202-1,,
06/03/2023,06/03/2023,13:00,261218-001/801 (cpe2/cpe2s),14:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,sanpawat,516,,
06/03/2023,06/03/2023,13:00,261306-001/801 (cpe3/cpe3s),14:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,"kasemsit,navadon",521,,
06/03/2023,06/03/2023,13:00,261752-001 (mcpe),14:30,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,patiwet,404,,
06/03/2023,06/03/2023,13:00,261342-701 (isne2),14:30,,ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,juggapong,518,,
06/03/2023,06/03/2023,13:00,261102-004,14:00,,Xternal > Undergrad,"Weekly on Monday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,karn,313,,
06/03/2023,06/03/2023,14:00,อ.เอ็ม จอง ประชุมกับ นศ. ตรีโทเอก,16:30,,Room reservations,"Weekly on Monday and Thursday until March 31, 2023",31/3/2023,MEK WISARUT,,09/03/2023 21:39,,navadon,403,,
06/03/2023,06/03/2023,14:00,261102-004 lab,20:00,,Xternal > Undergrad,"Weekly on Monday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:36,,karn,313,,
06/03/2023,06/03/2023,14:30,261208-001/801 (cpe2/cpe2s),16:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,thanatip,516,,
06/03/2023,06/03/2023,14:30,261361-001/801 (cpe3/cpe3s),16:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,lachana,521,,
06/03/2023,06/03/2023,14:30,261745-001 (mcpe),16:00,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,narissara,404,,
06/03/2023,06/03/2023,14:30,261343-701 (isne2) lab,17:30,,ISNE,"Weekly on Monday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,juggapong,518,,
06/03/2023,06/03/2023,16:00,261218-002 (cpe2),17:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,sanpawat,516,,
06/03/2023,06/03/2023,16:00,261453-001/801 (cpe),17:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,sansanee,501,,
06/03/2023,06/03/2023,16:00,261438-001/801 (cpe) | 261738-001 (mcpe),17:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,yuthapong,413A,,
06/03/2023,06/03/2023,16:00,Problem solving via programming,17:30,,Room reservations,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,chinawat,402,,
07/03/2023,07/03/2023,8:00,261781-001/801 (mcpe),11:00,,Grad,"Weekly on Tuesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,sakgasit,404,,
07/03/2023,07/03/2023,9:30,252281-001/801 (cpe1/cpe1s/reai2),11:00,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,,Slope,,
07/03/2023,07/03/2023,9:30,261305-001/801 (cpe3/cpe3s),11:00,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,narissara,521,,
07/03/2023,07/03/2023,9:30,261332-001/801 (cpe2/cpe2s),11:00,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,kampol,516,,
07/03/2023,07/03/2023,9:30,261433-701 (isne2),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,pruet,518,,
07/03/2023,07/03/2023,9:30,261447-011/701 (isne3),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,yuthapong,203,,
07/03/2023,07/03/2023,9:30,269130-701 (isne1),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,"anya,myo",201,,
07/03/2023,07/03/2023,9:30,269497-703 (isne),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,lachana,202-1,,
07/03/2023,07/03/2023,11:00,261214-001/801 (cpe2/cpe2s),12:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,arnan,"516,521",,
07/03/2023,07/03/2023,11:00,269210-701 (isne2),12:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,"myo,paskorn",518,,
07/03/2023,07/03/2023,11:00,269360-701 (isne3),12:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,pruet,203,,
07/03/2023,07/03/2023,13:00,261430-001/801 (cpe) | 261736-001 (mcpe),14:30,,CPE|Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,anya,521,,
07/03/2023,07/03/2023,13:00,261494-002/802 (cpe) | 261707-001 (mcpe),14:30,,CPE|Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,sanpawat,501,,
07/03/2023,07/03/2023,13:00,261446-011/701 (isne3),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,ken,203,,
07/03/2023,07/03/2023,13:00,269103-701 (isne1),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,"trasapong,navadon",201,,
07/03/2023,07/03/2023,13:00,269470-701 (isne4),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,natthanan,413A,,
07/03/2023,07/03/2023,13:00,270721-001,14:30,,Xternal > Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,paskorn,DS Sem 518,,
07/03/2023,07/03/2023,13:00,261111-001/002/801,16:00,,Xternal > Undergrad,"Weekly on Tuesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,"kampol,thanatip",online,,
07/03/2023,07/03/2023,13:30,261102-001/801 (cpe1/cpe1s),14:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"karn,kasemsit",Slope/314-315/313,,
07/03/2023,07/03/2023,13:30,261102-002/003 (cpe1/reai1),14:30,,CPE|Xternal > Undergrad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"kasemsit,karn",Slope/304/302,,
07/03/2023,07/03/2023,14:30,261102-001/801 (cpe1/cpe1s) lab,17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"karn,kasemsit",314-315/313,,
07/03/2023,07/03/2023,14:30,261448-001/801 (cpe) | 261448-701 (isne),16:00,,CPE|ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,narissara,521,,
07/03/2023,07/03/2023,14:30,261102-002/003 (cpe1/reai1) lab,17:30,,CPE|Xternal > Undergrad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,"kasemsit,karn",304/302,,
07/03/2023,07/03/2023,14:30,261759-001 (mcpe),16:00,,Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,natthanan,404,,
07/03/2023,07/03/2023,14:30,261205-701 (isne1),16:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,ken,201,,
07/03/2023,07/03/2023,14:30,269494-705 (isne),16:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,myo,202-1,,
07/03/2023,07/03/2023,16:00,261409-001/801 (cpe),17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,chinawat,402,,
07/03/2023,07/03/2023,16:00,261494-001/801 (cpe),17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:47,,trasapong,518,,
08/03/2023,08/03/2023,8:00,259201-001,13:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:47,,dome,314-315,,
08/03/2023,08/03/2023,8:00,259201-002,13:00,,Xternal > Undergrad,"Weekly on Wednesday until March 14, 2023",14/3/2023,MEK WISARUT,,09/03/2023 21:48,,patiwet,302,,
08/03/2023,08/03/2023,8:00,259201-003,13:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,lachana,303,,
08/03/2023,08/03/2023,8:00,259201-701,13:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,santi,304,,
08/03/2023,08/03/2023,9:00,269382-001/801,12:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,kasemsit,AccBA-2601,,
08/03/2023,08/03/2023,9:30,261796-001 (mcpe),12:30,,Grad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,trasapong,404,,
08/03/2023,08/03/2023,9:30,269370-011/701 (isne3),12:30,,ISNE,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,sakgasit,201,,
08/03/2023,08/03/2023,13:00,261405-001/801 (cpe4/cpe4s) | 269400-701 (isne4),16:00,,CPE|ISNE,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,dome,521/412,,
08/03/2023,08/03/2023,13:00,259194-003/004/701/801 (cpe3/cpe3s/isne3),15:00,,CPE|ISNE,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,patiwet,516,,
08/03/2023,08/03/2023,13:00,259201-004,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:49,,kampol,314-315,,
08/03/2023,08/03/2023,13:00,259201-005,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:49,,natthanan,304,,
08/03/2023,08/03/2023,13:00,259201-006,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:49,,yuthapong,303,,
08/03/2023,08/03/2023,13:00,259201-007,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:49,,trasapong,302,,
08/03/2023,08/03/2023,13:00,261112-048/848,16:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,sakgasit,online,,
08/03/2023,08/03/2023,13:00,269281-001/801,16:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,santi,AccBA-2601,,
08/03/2023,08/03/2023,13:00,261200-002 (reai2),15:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,navadon,413A,,
08/03/2023,08/03/2023,15:00,261200-002 (reai2) lab,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:51,,navadon,413A,,
09/03/2023,09/03/2023,8:00,261444-001/801 (cpe) | 261742-001 (mcpe),9:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:29,,juggapong,RTT3,,
09/03/2023,09/03/2023,8:00,259201-009,13:00,,Xternal > Undergrad,"Weekly on Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:51,,kampol,314-315,,
09/03/2023,09/03/2023,8:00,259201-010,13:00,,Xternal > Undergrad,"Weekly on Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:51,,thanatip,314-315,,
09/03/2023,09/03/2023,9:30,261449-001/801 (cpe),11:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,lachana,518,,
09/03/2023,09/03/2023,9:30,261200-001/801 (cpe2/cpe2s),10:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,chinawat,516,,
09/03/2023,09/03/2023,9:30,261458-001/801 (cpe) | 261895-001 (mcpe),11:00,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,karn,521,,
09/03/2023,09/03/2023,9:30,261494-003/803 (cpe) | 269494-703 (isne),11:00,,CPE|ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,dome,402,,
09/03/2023,09/03/2023,9:30,261755-001 (mcpe),11:00,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,sansanee,404,,
09/03/2023,09/03/2023,10:30,261200-001/801 (cpe2/cpe2s) lab,12:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,chinawat,516,,
09/03/2023,09/03/2023,11:00,261441-001/801 (cpe) | 261722-001 (mcpe),12:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,paskorn,518,,
09/03/2023,09/03/2023,11:00,261479-001/801 (cpe) | 261792-001 (mcpe),12:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,dome,402,,
09/03/2023,09/03/2023,11:00,261751-001 (mcpe),12:30,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:32,,sansanee,404,,
09/03/2023,09/03/2023,11:00,261438-701 (isne),12:30,,ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:33,,yuthapong,202-1,,
09/03/2023,09/03/2023,13:00,261218-001/801 (cpe2/cpe2s),14:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,sanpawat,516,,
09/03/2023,09/03/2023,13:00,261306-001/801 (cpe3/cpe3s),14:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,"kasemsit,navadon",521,,
09/03/2023,09/03/2023,13:00,261752-001 (mcpe),14:30,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,patiwet,404,,
09/03/2023,09/03/2023,13:00,261342-701 (isne2),14:30,,ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:37,,juggapong,518,,
09/03/2023,09/03/2023,14:00,อ.เอ็ม จอง ประชุมกับ นศ. ตรีโทเอก,16:30,,Room reservations,"Weekly on Monday and Thursday until March 31, 2023",31/3/2023,MEK WISARUT,,09/03/2023 21:39,,navadon,403,,
09/03/2023,09/03/2023,14:30,261208-001/801 (cpe2/cpe2s),16:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,thanatip,516,,
09/03/2023,09/03/2023,14:30,261361-001/801 (cpe3/cpe3s),16:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,lachana,521,,
09/03/2023,09/03/2023,14:30,261745-001 (mcpe),16:00,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:38,,narissara,404,,
09/03/2023,09/03/2023,14:30,269105-701 (isne1) lab,17:30,,ISNE,"Weekly on Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:52,,ken,518,,
09/03/2023,09/03/2023,16:00,261218-002 (cpe2),17:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,sanpawat,516,,
09/03/2023,09/03/2023,16:00,261453-001/801 (cpe),17:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,sansanee,501,,
09/03/2023,09/03/2023,16:00,261438-001/801 (cpe) | 261738-001 (mcpe),17:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,yuthapong,413A,,
09/03/2023,09/03/2023,16:00,Problem solving via programming,17:30,,Room reservations,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:39,,chinawat,402,,
10/03/2023,10/03/2023,9:30,252281-001/801 (cpe1/cpe1s/reai2),11:00,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,,Slope,,
10/03/2023,10/03/2023,9:30,261305-001/801 (cpe3/cpe3s),11:00,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,narissara,521,,
10/03/2023,10/03/2023,9:30,261332-001/801 (cpe2/cpe2s),11:00,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,kampol,516,,
10/03/2023,10/03/2023,9:30,261433-701 (isne2),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,pruet,518,,
10/03/2023,10/03/2023,9:30,261447-011/701 (isne3),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:42,,yuthapong,203,,
10/03/2023,10/03/2023,9:30,269130-701 (isne1),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,"anya,myo",201,,
10/03/2023,10/03/2023,9:30,269497-703 (isne),11:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,lachana,202-1,,
10/03/2023,10/03/2023,11:00,261214-001/801 (cpe2/cpe2s),12:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,arnan,"516,521",,
10/03/2023,10/03/2023,11:00,269210-701 (isne2),12:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,"myo,paskorn",518,,
10/03/2023,10/03/2023,11:00,269360-701 (isne3),12:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:43,,pruet,203,,
10/03/2023,10/03/2023,13:00,261215-001/801 (cpe2/cpe2s) lab,16:00,,CPE,"Weekly on Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:53,,arnan,516,,
10/03/2023,10/03/2023,13:00,261430-001/801 (cpe) | 261736-001 (mcpe),14:30,,CPE|Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,anya,521,,
10/03/2023,10/03/2023,13:00,261494-002/802 (cpe) | 261707-001 (mcpe),14:30,,CPE|Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,sanpawat,501,,
10/03/2023,10/03/2023,13:00,261446-011/701 (isne3),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,ken,203,,
10/03/2023,10/03/2023,13:00,269103-701 (isne1),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,"trasapong,navadon",201,,
10/03/2023,10/03/2023,13:00,269470-701 (isne4),14:30,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:44,,natthanan,413A,,
10/03/2023,10/03/2023,13:00,270721-001,14:30,,Xternal > Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,paskorn,DS Sem 518,,
10/03/2023,10/03/2023,13:30,261102-001/801 (cpe1/cpe1s),14:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"karn,kasemsit",Slope/314-315/313,,
10/03/2023,10/03/2023,13:30,261102-002/003 (cpe1/reai1),14:30,,CPE|Xternal > Undergrad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"kasemsit,karn",Slope/304/302,,
10/03/2023,10/03/2023,14:30,261102-001/801 (cpe1/cpe1s) lab,17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,"karn,kasemsit",314-315/313,,
10/03/2023,10/03/2023,14:30,261448-001/801 (cpe) | 261448-701 (isne),16:00,,CPE|ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,narissara,521,,
10/03/2023,10/03/2023,14:30,261102-002/003 (cpe1/reai1) lab,17:30,,CPE|Xternal > Undergrad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,"kasemsit,karn",304/302,,
10/03/2023,10/03/2023,14:30,261759-001 (mcpe),16:00,,Grad,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,natthanan,404,,
10/03/2023,10/03/2023,14:30,261205-701 (isne1),16:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,ken,201,,
10/03/2023,10/03/2023,14:30,269494-705 (isne),16:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,myo,202-1,,
10/03/2023,10/03/2023,16:00,261409-001/801 (cpe),17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,chinawat,402,,
10/03/2023,10/03/2023,16:00,261494-001/801 (cpe),17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:47,,trasapong,518,,
